code,parent_code,level,label_el,label_en
03000000-1,,1,"Προϊόντα γεωργίας, κτηνοτροφίας, αλιείας, δασοκομίας και συναφή προϊόντα","Agricultural, farming, fishing, forestry and related products"
03100000-2,03000000-1,2,Προϊόντα γεωργίας και κηπευτικής,Agricultural and horticultural products
03110000-5,03100000-2,3,Φυτά και προϊόντα μεγάλης καλλιέργειας και κηπευτικά είδη,"Crops, products of market gardening and horticulture"
03111000-2,03110000-5,4,Σπόροι,Seeds
03111100-3,03111000-2,5,Σπόροι σόγιας,Soya beans
03111200-4,03111000-2,5,Αράπικα φιστίκια,Peanuts
03111300-5,03111000-2,5,Σπόροι ηλιάνθου,Sunflower seeds
03111400-6,03111000-2,5,Βαμβακόσποροι,Cotton seeds
03111500-7,03111000-2,5,Σπόροι από σουσάμι,Sesame seeds
03111600-8,03111000-2,5,Σπόροι από σινάπι,Mustard seeds
03111700-9,03111000-2,5,Σπόροι λαχανικών,Vegetable seeds
03111800-0,03111000-2,5,Σπόροι καρπών,Fruit seeds
03111900-1,03111000-2,5,Σπόροι άνθεων,Flower seeds
03112000-9,03110000-5,4,Μη μεταποιημένος καπνός,Unmanufactured tobacco
03113000-6,03110000-5,4,Φυτά που χρησιμοποιούνται για την παρασκευή ζάχαρης,Plants used for sugar manufacturing
03113100-7,03113000-6,5,Ζαχαρότευτλα,Sugar beet
03113200-8,03113000-6,5,Ζαχαροκάλαμο,Sugar cane
03114000-3,03110000-5,4,Άχυρα και χορτονομές,Straw and forage
03114100-4,03114000-3,5,Άχυρα,Straw
03114200-5,03114000-3,5,Χορτονομές,Forage
03115000-0,03110000-5,4,Ακατέργαστες φυτικές ύλες,Raw vegetable materials
03115100-1,03115000-0,5,Φυτικές πρώτες ύλες που χρησιμοποιούνται στην κλωστοϋφαντουργία,Raw vegetable materials used in textile production
03115110-4,03115100-1,6,Βαμβάκι,Cotton
03115120-7,03115100-1,6,Γιούτα,Jute
03115130-0,03115100-1,6,Λινάρι,Flax
03116000-7,03110000-5,4,"Φυσικό καουτσούκ, λατέξ και συναφή προϊόντα","Natural rubber and latex, and associated products"
03116100-8,03116000-7,5,Φυσικό καουτσούκ,Natural rubber
03116200-9,03116000-7,5,Φυσικό λατέξ,Natural latex
03116300-0,03116000-7,5,Προϊόντα από λατέξ,Latex products
03117000-4,03110000-5,4,Φυτά που χρησιμοποιούνται σε ειδικούς τομείς,Plants used in specific fields
03117100-5,03117000-4,5,"Φυτά που χρησιμοποιούνται στην αρωματοποιία, τη φαρμακευτική ή την παραγωγή εντομοκτόνων ή για παρόμοιους σκοπούς","Plants used in perfumery or pharmacy, or for insecticidal or similar purposes"
03117110-8,03117100-5,6,Φυτά που χρησιμοποιούνται στην αρωματοποιία,Plants used in perfumery
03117120-1,03117100-5,6,Φυτά που χρησιμοποιούνται στη φαρμακευτική,Plants used in pharmacy
03117130-4,03117100-5,6,Φυτά που χρησιμοποιούνται για την παραγωγή εντομοκτόνων,Plants used for insecticidal purposes
03117140-7,03117100-5,6,Φυτά που χρησιμοποιούνται για την παραγωγή μυκητοκτόνων ή για παρόμοιους σκοπούς,Plants used for fungicidal or similar purposes
03117200-6,03117000-4,5,Σπόροι φυτών που χρησιμοποιούνται σε ειδικούς τομείς,Seeds of plants used in specific fields
03120000-8,03100000-2,3,Προϊόντα κηπευτικής και φυτωρίου,Horticultural and nursery products
03121000-5,03120000-8,4,Φυτοκομικά προϊόντα,Horticultural products
03121100-6,03121000-5,5,"Ζώντα φυτά, βολβοί, ρίζες και μοσχεύματα","Live plants, bulbs, roots, cuttings and slips"
03121200-7,03121000-5,5,Κομμένα άνθη,Cut flowers
03121210-0,03121200-7,6,Άνθινες διατάξεις,Floral arrangements
03130000-1,03100000-2,3,Φυτά για αφεψήματα και μπαχαρικά,Beverage and spice crops
03131000-8,03130000-1,4,Φυτά για αφεψήματα,Beverage crops
03131100-9,03131000-8,5,Κόκκοι καφέ,Coffee beans
03131200-0,03131000-8,5,Τσάι σε κλώνους,Tea bushes
03131300-1,03131000-8,5,Ματέ,Maté
03131400-2,03131000-8,5,Κόκκοι κακάου,Cocoa beans
03132000-5,03130000-1,4,Μη επεξεργασμένα καρυκεύματα,Unprocessed spices
03140000-4,03100000-2,3,Ζωικά και συναφή προϊόντα,Animal products and related products
03141000-1,03140000-4,4,Σπέρμα ταύρου,Bulls' semen
03142000-8,03140000-4,4,Ζωικά προϊόντα,Animal products
03142100-9,03142000-8,5,Φυσικό μέλι,Natural honey
03142200-0,03142000-8,5,Σαλιγκάρια,Snails
03142300-1,03142000-8,5,Βρώσιμα προϊόντα ζωικής προέλευσης,Edible products of animal origin
03142400-2,03142000-8,5,Κηροί,Waxes
03142500-3,03142000-8,5,Αυγά,Eggs
03143000-5,03140000-4,4,Προϊόντα μεικτής γεωργοκτηνοτροφικής δραστηριότητας,Products of mixed farming
03144000-2,03140000-4,4,Γεωργικές προμήθειες,Agricultural supplies
03200000-3,03000000-1,2,"Δημητριακά, πατάτες, λαχανικά, φρούτα και ξηροί καρποί","Cereals, potatoes, vegetables, fruits and nuts"
03210000-6,03200000-3,3,Δημητριακά και πατάτες,Cereals and potatoes
03211000-3,03210000-6,4,Δημητριακά,Cereals
03211100-4,03211000-3,5,Σιτάρι,Wheat
03211110-7,03211100-4,6,Σκληρό σιτάρι,Durum wheat
03211120-0,03211100-4,6,Μαλακό σιτάρι,Soft wheat
03211200-5,03211000-3,5,Καλαμπόκι,Maize
03211300-6,03211000-3,5,Ρύζι,Rice
03211400-7,03211000-3,5,Κριθάρι,Barley
03211500-8,03211000-3,5,Σίκαλη,Rye
